[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:04.656] [EVT.SPAWN] BerryBush at (5694,207)
[2026-06-20 17:51:04.656] [EVT.SPAWN] Bush at (1726,880)
[2026-06-20 17:51:04.656] [EVT.SPAWN] Pine at (1005,2752)
[2026-06-20 17:51:04.756] [EVT.SPAWN] GrassTuft at (822,1468)
[2026-06-20 17:51:04.756] [EVT.SPAWN] PineTree at (1295,4544)
[2026-06-20 17:51:04.863] [EVT.SPAWN] Plant at (2263,4204)
[2026-06-20 17:51:04.863] [EVT.SPAWN] Plant at (883,3896)
[2026-06-20 17:51:04.863] [EVT.SPAWN] Grass at (950,2997)
[2026-06-20 17:51:04.960] [EVT.SPAWN] Cactus at (5966,3226)
[2026-06-20 17:51:04.960] [EVT.SPAWN] Grass at (1806,1795)
[2026-06-20 17:51:04.960] [EVT.SPAWN] Grass at (1990,2793)
[2026-06-20 17:51:05.065] [EVT.SPAWN] Flowers at (3838,1913)
[2026-06-20 17:51:05.065] [EVT.SPAWN] GrassTuft at (3539,1262)
[2026-06-20 17:51:05.065] [EVT.SPAWN] Toadstool at (1033,179)
[2026-06-20 17:51:05.156] [EVT.SPAWN] PineTree at (4556,1753)
[2026-06-20 17:51:05.156] [EVT.SPAWN] Toadstool at (3150,820)
[2026-06-20 17:51:05.156] [EVT.SPAWN] PineTree at (4875,4438)
[2026-06-20 17:51:05.156] [EVT.SPAWN] PineTree at (3480,2569)
[2026-06-20 17:51:05.263] [EVT.SPAWN] Plant at (152,341)
[2026-06-20 17:51:05.263] [EVT.SPAWN] Algae at (1276,3288)
[2026-06-20 17:51:05.263] [EVT.SPAWN] Pine at (4131,1530)
[2026-06-20 17:51:05.263] [EVT.SPAWN] Moss at (4849,4017)
[2026-06-20 17:51:05.363] [EVT.DEATH] Seaweed died at age 2,4s, energy 0,0
[2026-06-20 17:51:05.366] [EVT.SPAWN] Pine at (771,3523)
[2026-06-20 17:51:05.366] [EVT.SPAWN] Flowers at (946,3971)
[2026-06-20 17:51:05.366] [EVT.SPAWN] Moss at (3487,3007)
[2026-06-20 17:51:05.467] [EVT.SPAWN] Moss at (2470,2342)
[2026-06-20 17:51:05.467] [EVT.SPAWN] OakTree at (2825,2735)
